Planner,Description,Links,tags
**A**,,,
ACOPlan,,Guide Page \| Home Page \| Paper,
ACOPlan2,,Guide Page \| Home Page \| Paper,
AIIPACA,,Guide Page \| Home Page \| Paper,
alien,,Guide Page \| Home Page \| Paper,
Arvand,,Guide Page \| Home Page \| Paper,
Arvandherd 1,,Guide Page \| Home Page \| Paper,
Arvandherd 2,,Guide Page \| Home Page \| Paper,
A2C-Plan,,Guide Page \| Home Page \| Paper,
**B**,,,
BiFD,,Guide Page \| Home Page \| Paper,
BJOLP,,Guide Page \| Home Page \| Paper,
BRT,,Guide Page \| Home Page \| Paper,
**C**,,,
CBP,,Guide Page \| Home Page \| Paper,
CBP2,,Guide Page \| Home Page \| Paper,
Cerberus,,Guide Page \| Home Page \| Paper,
Cerberus-gl,,Guide Page \| Home Page \| Paper,
CFDP,,Guide Page \| Home Page \| Paper,
cGamer,,Guide Page \| Home Page \| Paper,
COLIN,,[Guide Page](./COLIN/main.md) \| [Home Page](https://nms.kcl.ac.uk/planning/software/colin.html) \| Paper,
Complementary1,,Guide Page \| Home Page \| Paper,
Complementary2,,Guide Page \| Home Page \| Paper,
Conformant-SOGBOFA-B-IPC18,,Guide Page \| Home Page \| Paper,
Conformant-SOGBOFA-F-IPC18,,Guide Page \| Home Page \| Paper,
co-plan,,Guide Page \| Home Page \| Paper,
CPT3,,Guide Page \| Home Page \| Paper,
CPT4,,Guide Page \| Home Page \| Paper,
CP4TP,,Guide Page \| Home Page \| Paper,
C^3,,Guide Page \| Home Page \| Paper,
**D**,,,
DAE-YAHSP,,Guide Page \| Home Page \| Paper,
DecStar,,Guide Page \| Home Page \| Paper,
Delfi1,,Guide Page \| Home Page \| Paper,
Delfi2,,Guide Page \| Home Page \| Paper,
Dino,,[Guide Page](./DiNo/main.md) \| [Home Page](http://kcl-planning.github.io/DiNo/) \| Paper,
DPMPlan,,Guide Page \| Home Page \| Paper,
Dynamic-Gamer,,Guide Page \| Home Page \| Paper,
**E**,,,
ENHSP,,[Guide Page](./ENHSP/main.md) \| [Home Page](https://bitbucket.org/enricode/the-enhsp-planner) \| Paper,
**F**,,,
Fast Downward Autotune-1,,Guide Page \| Home Page \| Paper,
Fast Downward Autotune-2,,Guide Page \| Home Page \| Paper,
Fast Downward Cedalion,,Guide Page \| Home Page \| Paper,
Fast Downwards Remix,,Guide Page \| Home Page \| Paper,
